timestamp;consommation_MW;production_MW;Q_total_MVAR;S_total_MVA;cos_phi;frequence_Hz;T1_P_MW;T1_Q_MVAR;T1_I_A;T2_P_MW;T2_Q_MVAR;T2_I_A;etat_reseau;nb_lignes_HT;zone_reseau;jour_type
2025-07-22T00:00:00;50000;50334;1529;50023;1.0;49.95;250.68;36.85;605.0;195.14;47.19;645.0;0;4;Nord;ouvrée
2025-07-22T00:01:00;50034;50470;1641;50061;0.999;49.98;250.1;63.09;559.3;191.82;45.35;421.4;0;5;Est;ouvrée
2025-07-22T00:02:00;50069;50652;2238;50119;0.999;50.04;236.72;47.23;639.6;193.27;37.77;439.6;0;3;Est;ouvrée
2025-07-22T00:03:00;50104;50492;1620;50130;0.999;50.03;194.07;43.28;544.3;153.17;23.24;418.6;0;3;Sud;ouvrée
2025-07-22T00:04:00;50139;50475;2185;50187;0.999;50.0;189.04;37.46;438.9;182.89;35.07;462.6;0;2;Sud;ouvrée
2025-07-22T00:05:00;50174;50723;1453;50195;1.0;50.01;149.86;44.45;376.2;179.26;39.51;472.7;0;2;Ouest;ouvrée
2025-07-22T00:06:00;50209;50758;2339;50264;0.999;49.99;261.08;35.98;591.3;188.04;42.53;392.9;0;4;Centre;ouvrée
2025-07-22T00:07:00;50244;50643;1506;50267;1.0;50.04;214.07;70.91;603.5;182.91;33.7;537.7;0;2;Centre;ouvrée
2025-07-22T00:08:00;50279;50685;2220;50328;0.999;49.99;185.24;49.78;595.6;189.49;40.09;489.3;0;4;Est;ouvrée
2025-07-22T00:09:00;50314;50860;2250;50364;0.999;50.01;239.84;49.42;642.4;172.21;33.69;480.2;0;4;Centre;ouvrée
2025-07-22T00:10:00;50349;50559;1721;50378;0.999;50.03;170.82;55.88;472.3;181.47;43.74;588.5;0;2;Est;ouvrée
2025-07-22T00:11:00;50384;50602;2232;50433;0.999;49.98;212.2;59.62;535.8;149.3;34.27;305.0;0;4;Centre;ouvrée
2025-07-22T00:12:00;50418;50775;2104;50462;0.999;50.05;194.82;59.46;529.2;172.0;36.51;536.0;0;2;Ouest;ouvrée
2025-07-22T00:13:00;50453;50911;1784;50485;0.999;49.95;219.16;60.74;501.5;214.77;31.91;549.3;0;3;Sud;ouvrée
2025-07-22T00:14:00;50488;51050;1596;50513;1.0;50.05;198.09;43.69;513.7;187.97;43.46;641.6;0;4;Sud;ouvrée
2025-07-22T00:15:00;50523;51318;1214;50538;1.0;49.99;156.47;47.02;384.0;179.48;36.34;498.5;0;3;Est;ouvrée
2025-07-22T00:16:00;50558;51229;2139;50603;0.999;49.99;202.27;57.69;495.9;227.4;54.07;567.0;0;2;Centre;ouvrée
2025-07-22T00:17:00;50593;51061;1374;50611;1.0;49.94;231.47;44.73;564.9;145.98;49.06;430.9;0;4;Nord;ouvrée
2025-07-22T00:18:00;50628;51124;2038;50669;0.999;49.99;199.12;49.95;499.3;152.26;44.3;372.0;0;2;Ouest;ouvrée
2025-07-22T00:19:00;50662;50962;1894;50698;0.999;49.97;223.25;53.99;524.6;222.82;37.03;607.9;0;4;Centre;ouvrée
2025-07-22T00:20:00;50697;51194;2271;50748;0.999;49.98;168.63;57.85;468.1;181.15;48.81;413.6;0;3;Nord;ouvrée
2025-07-22T00:21:00;50732;51174;1879;50767;0.999;50.0;199.21;32.22;423.9;173.94;51.91;388.2;0;3;Ouest;ouvrée
2025-07-22T00:22:00;50767;51331;1868;50801;0.999;50.03;181.26;57.15;467.0;150.02;46.43;427.8;0;5;Ouest;ouvrée
2025-07-22T00:23:00;50802;51136;2292;50853;0.999;50.01;222.41;47.66;665.1;191.19;61.04;498.1;0;4;Sud;ouvrée
2025-07-22T00:24:00;50836;51440;2134;50881;0.999;50.01;200.94;57.07;490.8;193.61;49.6;497.5;0;2;Est;ouvrée
2025-07-22T00:25:00;50871;51678;2126;50915;0.999;49.97;220.7;57.77;617.5;152.64;54.14;371.4;0;3;Centre;ouvrée
2025-07-22T00:26:00;50906;51384;2187;50953;0.999;49.97;232.63;66.08;536.9;176.49;46.34;463.6;0;5;Ouest;ouvrée
2025-07-22T00:27:00;50940;51521;1385;50959;1.0;50.05;220.75;63.53;432.4;171.61;51.76;440.6;0;2;Centre;ouvrée
2025-07-22T00:28:00;50975;51613;2302;51027;0.999;49.98;208.19;63.47;577.2;186.4;37.03;506.8;0;4;Ouest;ouvrée
2025-07-22T00:29:00;51010;51430;2244;51059;0.999;50.05;170.05;64.44;408.2;152.02;40.42;394.1;0;4;Sud;ouvrée
2025-07-22T00:30:00;51044;51589;1593;51069;1.0;49.99;199.92;52.91;640.3;211.3;48.49;474.9;0;4;Est;ouvrée
2025-07-22T00:31:00;51079;51582;1902;51114;0.999;50.0;184.01;50.32;435.3;202.9;48.42;492.1;0;4;Nord;ouvrée
2025-07-22T00:32:00;51114;51633;1984;51152;0.999;50.03;189.68;58.73;533.2;170.92;50.08;411.8;0;4;Nord;ouvrée
2025-07-22T00:33:00;51148;51494;1946;51185;0.999;50.04;188.76;57.32;511.9;174.59;56.0;419.5;0;4;Sud;ouvrée
2025-07-22T00:34:00;51183;51688;2133;51227;0.999;50.0;170.6;46.91;494.6;176.59;30.75;474.3;0;5;Ouest;ouvrée
2025-07-22T00:35:00;51217;51817;2572;51282;0.999;49.99;141.28;54.05;323.6;160.54;35.26;405.5;0;4;Sud;ouvrée
2025-07-22T00:36:00;51252;52042;2432;51310;0.999;50.0;179.96;49.65;399.6;168.91;47.3;518.6;0;3;Est;ouvrée
2025-07-22T00:37:00;51286;51978;1475;51308;1.0;50.01;205.8;41.46;513.0;173.24;37.76;390.7;0;3;Nord;ouvrée
2025-07-22T00:38:00;51321;52251;2248;51370;0.999;50.03;159.55;62.9;447.2;220.32;78.78;914.8;0;4;Centre;ouvrée
2025-07-22T00:39:00;51355;51702;2531;51418;0.999;50.0;200.47;50.55;418.1;203.67;50.16;542.2;0;5;Nord;ouvrée
2025-07-22T00:40:00;51390;52064;2154;51435;0.999;50.02;257.01;70.49;709.0;203.37;44.22;465.3;0;3;Est;ouvrée
2025-07-22T00:41:00;51424;51961;2436;51482;0.999;50.05;230.69;33.75;790.3;189.25;39.85;606.9;0;3;Ouest;ouvrée
2025-07-22T00:42:00;51458;52396;2804;51535;0.999;50.01;249.31;44.43;589.5;152.07;40.2;380.2;0;5;Sud;ouvrée
2025-07-22T00:43:00;51493;51831;2409;51549;0.999;50.01;211.73;50.33;614.1;178.96;45.3;517.3;0;4;Nord;ouvrée
2025-07-22T00:44:00;51527;51859;2099;51570;0.999;49.95;235.03;61.37;522.9;204.26;46.12;564.9;0;2;Nord;ouvrée
2025-07-22T00:45:00;51561;51941;2418;51618;0.999;49.92;178.28;53.99;468.0;148.54;40.43;347.6;0;4;Centre;ouvrée
2025-07-22T00:46:00;51596;51671;2057;51637;0.999;50.01;180.67;53.1;420.0;195.91;42.27;502.5;0;5;Sud;ouvrée
2025-07-22T00:47:00;51630;52025;2009;51669;0.999;50.0;117.83;38.73;250.7;238.07;58.44;855.5;0;5;Centre;ouvrée
2025-07-22T00:48:00;51664;52012;1859;51697;0.999;49.98;235.58;38.43;693.8;206.55;58.85;623.7;0;4;Centre;ouvrée
2025-07-22T00:49:00;51698;52228;2625;51765;0.999;50.01;246.21;53.23;662.4;215.35;47.52;502.3;0;3;Ouest;ouvrée
2025-07-22T00:50:00;51732;52301;1672;51759;0.999;50.0;183.4;36.36;462.9;185.46;31.59;460.8;0;5;Nord;ouvrée
2025-07-22T00:51:00;51766;52642;2612;51832;0.999;50.03;192.38;44.68;403.4;204.2;50.39;436.9;0;4;Sud;ouvrée
2025-07-22T00:52:00;51800;52490;2199;51847;0.999;50.0;177.38;55.01;483.2;162.05;60.54;349.2;0;5;Ouest;ouvrée
2025-07-22T00:53:00;51834;52219;1440;51854;1.0;49.98;211.48;40.18;571.1;199.9;58.7;550.8;0;3;Ouest;ouvrée
2025-07-22T00:54:00;51868;52189;2147;51913;0.999;50.03;233.75;66.05;551.4;196.36;52.34;388.7;0;2;Ouest;ouvrée
2025-07-22T00:55:00;51902;52501;1159;51915;1.0;49.99;147.72;62.24;398.0;187.25;59.22;491.2;0;3;Est;ouvrée
2025-07-22T00:56:00;51936;52172;2250;51985;0.999;50.02;212.28;34.29;520.8;212.9;45.53;641.5;0;3;Est;ouvrée
2025-07-22T00:57:00;51970;52836;2354;52023;0.999;49.99;191.7;40.68;594.6;166.53;51.28;478.1;0;4;Ouest;ouvrée
2025-07-22T00:58:00;52004;52740;1763;52034;0.999;49.98;203.4;27.14;398.3;175.32;38.19;656.2;0;5;Est;ouvrée
2025-07-22T00:59:00;52038;52444;2049;52078;0.999;50.0;213.77;42.17;642.7;182.39;47.92;396.2;0;4;Sud;ouvrée
2025-07-22T01:00:00;52071;52229;2781;52146;0.999;50.0;194.35;57.66;506.2;154.26;58.3;335.5;0;5;Nord;ouvrée
2025-07-22T01:01:00;52105;52876;1797;52136;0.999;50.01;196.89;45.86;494.2;185.67;39.11;564.0;0;3;Sud;ouvrée
2025-07-22T01:02:00;52139;52616;1576;52163;1.0;49.99;193.58;54.61;390.6;137.03;36.39;371.7;0;4;Nord;ouvrée
2025-07-22T01:03:00;52172;52920;2592;52237;0.999;49.94;229.11;34.78;686.5;206.17;45.97;535.8;0;5;Est;ouvrée
2025-07-22T01:04:00;52206;52387;2785;52280;0.999;49.99;212.56;57.98;425.8;181.17;42.73;545.7;0;4;Sud;ouvrée
2025-07-22T01:05:00;52240;52620;2001;52278;0.999;50.02;206.62;44.45;471.9;166.98;51.49;571.4;0;4;Centre;ouvrée
2025-07-22T01:06:00;52273;52774;2404;52328;0.999;49.99;161.87;50.12;384.6;159.14;40.47;430.7;0;4;Ouest;ouvrée
2025-07-22T01:07:00;52307;52816;2536;52368;0.999;49.99;188.64;49.07;537.8;174.14;62.18;478.5;0;4;Nord;ouvrée
2025-07-22T01:08:00;52340;52750;1703;52368;0.999;50.03;226.96;37.28;529.6;197.21;32.1;546.9;0;3;Nord;ouvrée
2025-07-22T01:09:00;52373;52998;1805;52405;0.999;49.98;201.13;38.47;552.8;193.69;57.54;495.2;0;5;Centre;ouvrée
2025-07-22T01:10:00;52407;52693;2492;52466;0.999;49.95;219.79;59.68;474.4;162.36;37.35;359.6;0;5;Centre;ouvrée
2025-07-22T01:11:00;52440;52912;2674;52508;0.999;50.0;253.0;53.99;719.9;158.85;27.04;435.4;0;3;Ouest;ouvrée
2025-07-22T01:12:00;52473;52997;2225;52520;0.999;49.99;231.16;60.5;586.2;196.42;47.38;505.6;0;4;Est;ouvrée
2025-07-22T01:13:00;52506;53109;1648;52532;1.0;49.97;202.79;53.25;544.8;161.94;42.45;389.0;0;4;Sud;ouvrée
2025-07-22T01:14:00;52540;53182;2794;52614;0.999;49.99;184.67;51.43;526.7;181.5;33.9;445.2;0;4;Sud;ouvrée
2025-07-22T01:15:00;52573;52848;1787;52603;0.999;50.01;123.39;32.74;282.3;183.09;28.19;524.2;0;4;Sud;ouvrée
2025-07-22T01:16:00;52606;52799;1865;52639;0.999;50.0;194.95;47.3;456.8;187.8;44.92;488.0;0;5;Est;ouvrée
2025-07-22T01:17:00;52639;53394;2136;52682;0.999;50.01;190.22;49.73;413.1;201.46;54.76;494.5;0;3;Ouest;ouvrée
2025-07-22T01:18:00;52672;53238;2621;52737;0.999;50.05;211.71;69.53;680.7;148.43;50.85;458.7;0;2;Sud;ouvrée
2025-07-22T01:19:00;52705;53055;2341;52757;0.999;49.99;195.38;56.87;431.1;132.22;45.57;298.3;0;5;Nord;ouvrée
2025-07-22T01:20:00;52737;53548;2165;52782;0.999;50.01;190.39;65.36;362.5;165.81;49.79;367.2;0;4;Nord;ouvrée
2025-07-22T01:21:00;52770;53293;2185;52816;0.999;49.98;146.62;55.98;388.5;225.04;44.73;654.4;0;5;Nord;ouvrée
2025-07-22T01:22:00;52803;53539;2017;52842;0.999;49.97;171.8;42.89;347.2;230.55;30.7;591.6;0;2;Centre;ouvrée
2025-07-22T01:23:00;52836;53349;2223;52882;0.999;49.98;214.3;51.17;554.0;225.78;30.79;547.9;0;2;Centre;ouvrée
2025-07-22T01:24:00;52868;53780;988;52878;1.0;49.99;251.48;52.36;758.9;175.18;42.97;496.6;0;5;Est;ouvrée
2025-07-22T01:25:00;52901;53752;1881;52934;0.999;50.01;197.07;40.61;512.3;135.45;43.39;335.2;0;2;Sud;ouvrée
2025-07-22T01:26:00;52933;53384;2096;52975;0.999;50.07;209.83;46.16;463.8;121.42;53.51;312.8;0;5;Centre;ouvrée
2025-07-22T01:27:00;52966;53660;1539;52988;1.0;49.98;228.57;47.94;638.3;164.65;52.57;537.0;0;5;Nord;ouvrée
2025-07-22T01:28:00;52998;53627;2154;53042;0.999;49.99;175.67;66.06;474.8;175.05;51.05;434.4;0;4;Centre;ouvrée
2025-07-22T01:29:00;53031;53804;1918;53065;0.999;50.0;211.0;29.19;491.1;212.52;42.2;653.9;0;2;Nord;ouvrée
2025-07-22T01:30:00;53063;53370;2702;53132;0.999;50.01;177.79;62.06;444.3;201.7;31.19;472.4;0;4;Sud;ouvrée
2025-07-22T01:31:00;53095;53732;2629;53160;0.999;50.01;225.94;40.63;526.4;185.69;49.12;536.0;0;5;Est;ouvrée
2025-07-22T01:32:00;53127;53839;1813;53158;0.999;50.04;204.54;36.28;496.6;157.75;50.25;424.1;0;3;Ouest;ouvrée
2025-07-22T01:33:00;53160;53308;1939;53195;0.999;49.93;208.95;61.8;492.8;155.98;21.11;347.7;0;3;Ouest;ouvrée
2025-07-22T01:34:00;53192;53455;1970;53228;0.999;49.93;176.52;57.32;466.5;186.35;36.66;460.3;0;3;Nord;ouvrée
2025-07-22T01:35:00;53224;53316;1819;53255;0.999;49.99;221.21;62.55;537.5;197.43;38.09;605.6;0;2;Centre;ouvrée
2025-07-22T01:36:00;53256;53702;2078;53296;0.999;50.03;262.54;58.01;742.4;189.8;46.18;576.4;0;5;Centre;ouvrée
2025-07-22T01:37:00;53287;53931;1696;53314;0.999;49.95;169.76;70.6;365.5;154.14;36.97;440.3;0;5;Nord;ouvrée
2025-07-22T01:38:00;53319;54120;1547;53342;1.0;49.91;189.81;55.59;515.4;196.27;44.62;491.0;0;5;Sud;ouvrée
2025-07-22T01:39:00;53351;53866;2249;53398;0.999;50.02;206.95;48.44;453.4;190.65;42.89;479.1;0;4;Nord;ouvrée
2025-07-22T01:40:00;53383;54208;2251;53430;0.999;50.01;223.59;53.43;575.8;153.23;43.41;453.6;0;4;Sud;ouvrée
2025-07-22T01:41:00;53414;53638;1678;53441;1.0;49.97;183.21;62.43;446.8;160.39;37.84;498.7;0;3;Est;ouvrée
2025-07-22T01:42:00;53446;53605;2358;53498;0.999;49.97;115.01;42.21;306.5;197.21;38.61;500.4;0;4;Est;ouvrée
2025-07-22T01:43:00;53477;53966;1747;53506;0.999;49.97;240.78;43.48;689.5;174.14;34.2;469.5;0;4;Nord;ouvrée
2025-07-22T01:44:00;53509;54086;2101;53550;0.999;50.0;222.82;46.91;712.4;219.73;48.8;450.4;0;5;Est;ouvrée
2025-07-22T01:45:00;53540;54034;2328;53591;0.999;49.98;147.71;28.95;425.4;192.53;50.71;504.2;0;5;Centre;ouvrée
2025-07-22T01:46:00;53571;53658;1986;53608;0.999;50.01;181.77;51.38;473.6;167.83;37.29;356.6;0;5;Sud;ouvrée
2025-07-22T01:47:00;53603;54085;2181;53647;0.999;49.91;247.05;31.14;601.7;179.74;60.21;559.1;0;5;Ouest;ouvrée
2025-07-22T01:48:00;53634;53873;1793;53664;0.999;49.97;243.43;50.53;540.3;181.58;41.85;602.6;0;5;Ouest;ouvrée
2025-07-22T01:49:00;53665;54299;1921;53699;0.999;49.97;228.16;58.65;604.1;161.79;60.3;499.4;0;2;Est;ouvrée
2025-07-22T01:50:00;53696;54269;1917;53730;0.999;49.99;194.72;45.23;547.1;157.19;38.58;357.7;0;5;Sud;ouvrée
2025-07-22T01:51:00;53727;54039;1701;53754;0.999;49.98;202.49;66.77;617.6;197.53;24.73;422.3;0;4;Centre;ouvrée
2025-07-22T01:52:00;53758;54155;1929;53792;0.999;50.02;196.07;35.39;462.4;201.13;49.02;590.0;0;3;Ouest;ouvrée
2025-07-22T01:53:00;53788;54077;1380;53806;1.0;49.94;233.85;61.91;498.4;195.09;47.49;546.5;0;2;Centre;ouvrée
2025-07-22T01:54:00;53819;54307;1803;53849;0.999;50.0;173.72;56.75;375.0;217.88;45.34;677.6;0;4;Centre;ouvrée
2025-07-22T01:55:00;53850;54541;1886;53883;0.999;50.02;175.83;32.84;403.7;166.46;38.58;575.1;0;3;Ouest;ouvrée
2025-07-22T01:56:00;53880;54183;1897;53914;0.999;50.06;230.31;77.11;533.2;221.86;44.65;533.4;0;3;Ouest;ouvrée
2025-07-22T01:57:00;53911;54512;1903;53945;0.999;49.99;198.67;49.36;409.7;157.48;39.89;402.6;0;4;Est;ouvrée
2025-07-22T01:58:00;53941;54335;1975;53978;0.999;50.01;241.35;41.23;579.3;154.68;41.98;406.5;0;5;Sud;ouvrée
2025-07-22T01:59:00;53972;54313;2191;54016;0.999;49.95;179.85;35.93;416.0;136.0;53.42;438.7;0;5;Nord;ouvrée
2025-07-22T02:00:00;54002;54481;2349;54053;0.999;49.93;198.36;47.8;516.6;168.86;46.84;365.5;0;3;Sud;ouvrée
2025-07-22T02:01:00;54032;54325;1740;54060;0.999;50.03;172.33;48.73;519.2;167.41;51.1;471.8;0;3;Nord;ouvrée
2025-07-22T02:02:00;54062;54452;1518;54084;1.0;50.0;200.22;51.03;547.3;193.15;42.68;474.9;0;3;Ouest;ouvrée
2025-07-22T02:03:00;54092;54353;1583;54116;1.0;50.04;155.64;47.02;389.6;186.1;41.58;605.6;0;3;Centre;ouvrée
2025-07-22T02:04:00;54122;55015;1805;54152;0.999;49.96;185.37;56.33;459.9;150.18;33.47;405.4;0;2;Sud;ouvrée
2025-07-22T02:05:00;54152;54659;1859;54184;0.999;50.02;156.91;46.12;316.2;170.18;41.3;431.3;0;5;Centre;ouvrée
2025-07-22T02:06:00;54182;54542;1692;54209;1.0;50.06;220.82;30.65;546.5;170.71;11.79;430.7;0;4;Sud;ouvrée
2025-07-22T02:07:00;54212;54755;1481;54232;1.0;50.01;221.5;48.51;482.6;135.6;39.1;349.7;0;2;Sud;ouvrée
2025-07-22T02:08:00;54241;54719;1817;54272;0.999;50.01;148.09;26.33;391.5;155.48;44.18;384.2;0;3;Centre;ouvrée
2025-07-22T02:09:00;54271;54727;2072;54311;0.999;50.0;240.02;53.54;624.4;160.73;50.64;496.9;0;4;Est;ouvrée
2025-07-22T02:10:00;54301;54923;2238;54347;0.999;49.95;274.92;40.21;824.2;215.84;42.31;553.6;0;4;Ouest;ouvrée
2025-07-22T02:11:00;54330;54981;1777;54359;0.999;50.04;201.38;51.63;554.9;184.79;48.48;479.1;0;2;Est;ouvrée
2025-07-22T02:12:00;54359;54753;1834;54390;0.999;49.98;180.77;63.14;424.0;196.55;23.2;501.9;0;5;Est;ouvrée
2025-07-22T02:13:00;54389;54773;1629;54413;1.0;50.02;284.73;40.51;711.2;142.53;44.43;371.6;0;3;Sud;ouvrée
2025-07-22T02:14:00;54418;54863;1987;54454;0.999;49.95;160.43;60.61;358.8;209.86;28.2;663.4;0;2;Ouest;ouvrée
2025-07-22T02:15:00;54447;54486;1660;54472;1.0;49.96;200.6;45.67;490.4;212.53;32.92;676.6;0;2;Sud;ouvrée
2025-07-22T02:16:00;54476;54673;2229;54521;0.999;50.04;205.39;67.53;537.1;130.04;43.13;482.9;0;4;Nord;ouvrée
2025-07-22T02:17:00;54505;55278;1285;54520;1.0;49.99;240.35;46.35;473.7;162.37;57.76;385.8;0;2;Sud;ouvrée
2025-07-22T02:18:00;54534;55363;1856;54565;0.999;50.04;210.79;41.6;533.2;192.39;48.71;456.6;0;2;Centre;ouvrée
2025-07-22T02:19:00;54562;55012;2120;54603;0.999;50.0;185.04;56.87;403.9;196.11;45.18;464.5;0;3;Sud;ouvrée
2025-07-22T02:20:00;54591;55206;2073;54630;0.999;49.94;171.46;45.64;451.3;163.04;44.8;412.4;0;4;Nord;ouvrée
2025-07-22T02:21:00;54619;55182;3077;54706;0.998;50.03;189.75;41.59;435.7;172.36;37.86;630.6;0;2;Sud;ouvrée
2025-07-22T02:22:00;54648;55764;2139;54690;0.999;49.98;169.79;45.22;380.4;165.07;39.56;502.2;0;3;Nord;ouvrée
2025-07-22T02:23:00;54676;55400;1598;54700;1.0;50.02;201.43;49.55;490.8;182.76;49.27;470.4;0;3;Ouest;ouvrée
2025-07-22T02:24:00;54705;55179;1961;54740;0.999;50.0;183.07;63.42;648.6;209.93;31.15;542.8;0;2;Sud;ouvrée
2025-07-22T02:25:00;54733;55042;1289;54748;1.0;49.95;155.18;30.66;387.1;160.72;50.93;435.7;0;4;Nord;ouvrée
2025-07-22T02:26:00;54761;54940;1967;54796;0.999;50.0;237.65;50.23;514.9;205.02;41.11;514.6;0;2;Ouest;ouvrée
2025-07-22T02:27:00;54789;55330;1666;54814;1.0;50.07;185.07;56.25;434.1;160.46;53.26;421.6;0;2;Centre;ouvrée
2025-07-22T02:28:00;54817;55166;2366;54868;0.999;50.01;161.96;51.93;383.5;158.81;54.61;411.4;0;4;Est;ouvrée
2025-07-22T02:29:00;54845;55060;1780;54874;0.999;50.0;194.95;63.1;621.1;200.46;28.27;576.0;0;3;Nord;ouvrée
2025-07-22T02:30:00;54872;55243;1953;54907;0.999;50.03;202.05;49.26;555.1;203.05;39.18;473.2;0;2;Centre;ouvrée
2025-07-22T02:31:00;54900;55184;1745;54928;0.999;50.01;147.61;48.15;351.0;201.29;36.44;561.5;0;3;Ouest;ouvrée
2025-07-22T02:32:00;54928;55765;2695;54994;0.999;50.01;209.95;55.92;499.3;147.11;26.87;469.3;0;5;Centre;ouvrée
2025-07-22T02:33:00;54955;55631;1871;54987;0.999;49.97;168.59;50.99;365.9;168.35;34.67;493.0;0;4;Sud;ouvrée
2025-07-22T02:34:00;54983;55481;2733;55050;0.999;50.01;251.33;46.1;639.9;200.57;69.41;553.2;0;5;Est;ouvrée
2025-07-22T02:35:00;55010;55806;2325;55059;0.999;50.03;215.72;55.16;513.3;181.04;51.1;421.3;0;5;Nord;ouvrée
2025-07-22T02:36:00;55037;55552;2192;55081;0.999;49.97;188.0;43.47;469.0;153.16;64.17;405.3;0;5;Ouest;ouvrée
2025-07-22T02:37:00;55064;55392;2147;55106;0.999;50.04;177.64;43.89;506.6;191.46;53.29;516.5;0;4;Est;ouvrée
2025-07-22T02:38:00;55091;55896;2157;55133;0.999;50.0;196.85;44.72;685.4;162.13;37.58;510.5;0;4;Ouest;ouvrée
2025-07-22T02:39:00;55118;55726;1228;55132;1.0;49.97;218.38;63.53;518.0;224.86;41.18;536.3;0;3;Centre;ouvrée
2025-07-22T02:40:00;55145;55437;1888;55177;0.999;50.03;199.24;17.79;487.5;218.62;50.88;629.3;0;2;Ouest;ouvrée
2025-07-22T02:41:00;55171;55633;2338;55221;0.999;49.99;193.49;53.96;524.2;195.1;49.38;520.3;0;4;Ouest;ouvrée
